order_id,order_date,customer_id,product_category,product_name,price,quantity,payment_method,region,sales_channel
7d10aa69-35d4-42ef-b8c7-3b143283219d,2024-08-19,78967aad-349d-4868-8919-cd4a6d2b2b2f,Yoga,Everything Yoga,190.19,4,Google Pay,Hauts-de-France,Marketplace
b427ab77-8cd7-4063-83be-4e04088ec0ef,2025-02-23,24ad3f96-d67a-44df-b819-6796250b62de,Cardio,Pull Cardio,155.93,1,Google Pay,Grand Est,Marketplace
d34eddd0-e7af-4f2f-b429-f19d02b9f0cc,2024-10-30,83378fe3-b0c1-42e7-a9d6-5c59c4d44fd3,Cardio,Enough Cardio,143.46,1,Carte bancaire,Île-de-France,Site web
69e39c0c-c5ad-400a-b02b-0560c769942f,2024-08-27,89f2472d-cebd-4bbd-9175-1f5da2c2511c,Fitness,House Fitness,23.15,3,Google Pay,Occitanie,Site web
23f6d7fb-bf33-4f59-841a-cd0408e7de3d,2024-05-19,c8266a6e-74e6-4e4a-8b35-d92bc244f21d,Fitness,Friend Fitness,230.08,3,PayPal,Île-de-France,Site web
fd9ad3e5-8fe3-4132-b72c-90b50006eb2a,2024-05-26,ee58d999-9836-4547-af99-8fe1293ecb2f,Fitness,Explain Fitness,109.18,2,Carte bancaire,Grand Est,Site web
0fd11ddd-4341-457e-91c0-fcace9408365,2024-08-28,f8179040-b40a-454f-817a-5dfbde0faeca,Fitness,View Fitness,124.13,2,Carte bancaire,Grand Est,Site web
c89fed2a-afff-4d58-b1d9-21175553f766,2024-12-19,31989912-d662-4739-90f8-96decff029be,Vêtements,Individual Vêtements,43.76,3,Carte bancaire,Hauts-de-France,Site web
0d03b4d6-9469-48d6-ac44-8962fd9ac6b4,2024-07-25,5d948cc7-a083-4c4c-94e1-41d7c40ab9d0,Cardio,Agree Cardio,140.05,2,Apple Pay,Bretagne,Site web
5435998c-b7ee-4600-89b2-31ea238857c8,2025-03-17,010be5da-9771-45df-8e34-f58fd353e2f4,Fitness,Everybody Fitness,111.78,3,Carte bancaire,Île-de-France,Site web
c1bcf736-4045-4265-b8dd-12b69d59ad12,2024-04-06,7c038633-de62-4dd7-80ec-ead8d9d1deaf,Accessoires,Everything Accessoires,42.94,4,Apple Pay,Occitanie,Marketplace
9a60498e-755d-4d81-9e21-5a5c4391be56,2024-08-24,9413babe-0c40-4f2f-91df-fcfd9c1d525d,Accessoires,Analysis Accessoires,219.54,4,Google Pay,Hauts-de-France,Application mobile
bbe8624c-9a84-4a8a-88c9-9c50f4b67acc,2024-06-01,fa7a22fe-0c88-4c03-b91c-27e4b819f7dd,Vêtements,Always Vêtements,201.6,4,Google Pay,Île-de-France,Application mobile
62f5032d-7f5d-4ef5-b7fe-1ce7ba6819c5,2024-07-08,23595355-229b-4aee-af57-d28b2bdd7ca4,Yoga,Do Yoga,143.17,4,Apple Pay,Hauts-de-France,Marketplace
0022dfa8-0ec0-416e-8882-dfd7a4894257,2024-12-18,2fa7b05e-d989-4b2f-8b7e-82a3b53d32b3,Fitness,Fund Fitness,156.76,2,Carte bancaire,Bretagne,Site web
fc17057f-b687-4441-ba97-362576363eee,2024-05-22,17018e0c-3034-49b3-aed8-4bcefaef2d93,Vêtements,Bill Vêtements,165.68,1,Google Pay,Occitanie,Application mobile
50d5f65b-c62a-4207-bd3f-56c7271d68d9,2024-09-04,2ec7686c-071a-4995-afe1-95314783c155,Fitness,Gas Fitness,199.45,3,PayPal,Hauts-de-France,Marketplace
1e32161f-fd0e-4f83-b8ca-4c3dd0913ac1,2024-11-19,4a540d07-ca8b-428c-b069-9ebb33f866d5,Fitness,South Fitness,112.9,3,PayPal,Occitanie,Marketplace
91044b16-27b6-425d-8e06-ad9c3c1aebfa,2025-02-16,573aecde-341c-4d3d-81a3-3a282b023cb7,Accessoires,Practice Accessoires,220.69,1,Apple Pay,Bretagne,Marketplace
81e9bdc2-9ae6-4dfc-b118-b202ad24260b,2024-04-26,a03426c1-eafb-4870-81d4-c11aba11dc98,Accessoires,These Accessoires,133.78,4,Carte bancaire,Hauts-de-France,Application mobile
45bb14d9-ec70-4cde-901f-5dfd25be9fc4,2024-11-19,f23f7872-1d25-4fcf-a980-a961033c871f,Fitness,If Fitness,247.27,1,Google Pay,Grand Est,Site web
caee5e0e-b40e-4da8-aadb-7d160fa8e872,2024-09-11,4935599c-fbf0-4f56-8abb-416dd74862e4,Accessoires,Ball Accessoires,111.62,4,PayPal,Île-de-France,Marketplace
16928f26-6b67-4ea1-8eb2-918fb2a0475e,2024-08-08,ec42281d-f59e-439a-b68f-3b946568e0ee,Fitness,Into Fitness,17.65,2,Apple Pay,Grand Est,Application mobile
b86a3656-f49c-48c4-8049-cec4bcd0870b,2024-12-30,30ffce0f-4067-4408-84d5-5547adac2f71,Cardio,Break Cardio,107.09,3,PayPal,Bretagne,Application mobile
6ccdcae6-6f8c-4f66-a17d-275a5b83dd10,2024-10-13,b2a77d06-6951-420b-a869-87bc7a773673,Cardio,Movie Cardio,95.84,3,Carte bancaire,Hauts-de-France,Site web
a67143b2-036a-4ab6-bcf5-104b21d2cc7b,2025-02-10,413b3aa5-5d92-46ca-91b7-18ab0f277312,Cardio,Find Cardio,21.76,2,Apple Pay,Hauts-de-France,Site web
6a39c67b-16bb-4ec4-88d8-801a55d69d06,2024-08-05,8336c412-b6ae-44dc-8839-0af21fe464ac,Fitness,Such Fitness,213.62,2,PayPal,Occitanie,Application mobile
8725ba7b-7dfb-473d-83fa-e2c8c4274adc,2024-05-31,d974a743-6476-447f-a7cf-392d557cf4da,Cardio,Ready Cardio,45.33,4,Carte bancaire,Occitanie,Marketplace
a3a06334-97ea-417f-af32-82b52c8546c6,2025-03-17,b0cbea20-0000-4261-b7ed-dbf027b70dad,Accessoires,Skill Accessoires,248.58,1,Apple Pay,Bretagne,Site web
9b4f3183-44ab-4037-8438-73e3c643dda6,2025-02-16,4963142d-986a-41c3-a1bd-8472663f4cb6,Yoga,Production Yoga,224.43,1,Google Pay,Grand Est,Marketplace
d7652fde-19dc-4f67-9c2f-111e524e8e89,2024-05-20,77b45635-1933-4760-b8d6-6227521ff870,Vêtements,Mind Vêtements,54.82,4,Carte bancaire,Hauts-de-France,Application mobile
a00b3ba0-2bd1-4a65-8a10-361af9df3f09,2025-01-11,bfc2d357-5192-457a-8da6-6befcd244a76,Accessoires,Child Accessoires,65.41,3,PayPal,Occitanie,Site web
4deb5650-adc4-4ee6-b3f4-9c9a0c22ceed,2024-12-10,3a70c7fa-aa09-474f-986e-b69f60116160,Cardio,Everyone Cardio,161.11,1,PayPal,Île-de-France,Marketplace
b339a00e-68dc-461b-a199-fb42fde25e5d,2024-06-29,1c4a7590-bacb-4731-a21c-7fc4d4644ebf,Cardio,Administration Cardio,45.4,1,Apple Pay,Grand Est,Application mobile
9788a2d4-c6bc-4543-9cd4-f90ad8372b93,2024-05-06,48f6c341-1d26-41ce-a3c2-298a55fd2752,Fitness,Ahead Fitness,53.83,4,PayPal,Grand Est,Marketplace
f9667355-fc09-49e8-83b1-c97e0f39a0d1,2024-06-13,feeac490-4cfb-40c9-ad74-fc9e80b23343,Vêtements,And Vêtements,32.83,2,PayPal,Hauts-de-France,Marketplace
cd68993c-b7d2-4afc-985d-f7e3ab7f3e81,2025-03-16,b05dae2d-06a4-4696-8673-d8258e9bf501,Cardio,Conference Cardio,102.01,2,Carte bancaire,Occitanie,Application mobile
f1518a11-7e4a-4dc3-a6fe-fc6dfe2431ec,2024-12-03,afdc6bf6-9959-421c-b22c-027cd31ec6d5,Accessoires,World Accessoires,20.75,4,Carte bancaire,Occitanie,Marketplace
55c63170-eda8-4f06-859b-4cf4fd85770b,2025-04-05,f1dfc43b-55b6-4eb1-91da-f2d81edfff59,Cardio,Agent Cardio,101.89,2,PayPal,Occitanie,Marketplace
